IdGeografia,País,Ciudad
191,Francia,Boulogne-sur-Mer
329,Estados Unidos,Imperial Beach
565,Estados Unidos,La Vergne
377,Estados Unidos,Upland
96,Canada,Toronto
216,Francia,Courbevoie
635,Estados Unidos,Renton
648,Estados Unidos,Yakima
548,Estados Unidos,Salem
465,Estados Unidos,Monroe
14,Australia,Rhodes
399,Estados Unidos,Waterbury
91,Canada,Richmond Hill
3,Australia,Darlinghurst
422,Estados Unidos,Decatur
288,Estados Unidos,Phoenix
86,Canada,North York
210,Francia,Saint Ouen
130,Alemania,Duesseldorf
278,Reino Unido,York
476,Estados Unidos,Duluth
25,Australia,Hervey Bay
106,Canada,Montreal
228,Reino Unido,Basingstoke Hants
200,Francia,Paris
537,Estados Unidos,Clackamas
51,Canada,Langford
241,Reino Unido,Kirkby
225,Francia,Orly
262,Reino Unido,Oxford
487,Estados Unidos,Saint Louis
116,Alemania,Augsburg
75,Canada,Barrie
603,Estados Unidos,Falls Church
441,Estados Unidos,Daleville
488,Estados Unidos,Biloxi
607,Estados Unidos,Ballard
56,Canada,Newton
113,Canada,Ville De'anjou
282,Estados Unidos,Huntsville
593,Estados Unidos,Sugar Land
267,Reino Unido,Runcorn
620,Estados Unidos,Kenmore
293,Estados Unidos,Alpine
66,Canada,Sooke
252,Reino Unido,London
306,Estados Unidos,Cerritos
354,Estados Unidos,Redlands
401,Estados Unidos,Altamonte Springs
319,Estados Unidos,Escondido
367,Estados Unidos,Santa Ana
414,Estados Unidos,Tampa
568,Estados Unidos,Millington
71,Canada,Westminster
157,Alemania,Hannover
380,Estados Unidos,Visalia
219,Francia,Suresnes
638,Estados Unidos,Sedro Woolley
208,Francia,Saint Germain en Laye
274,Reino Unido,West Sussex
32,Australia,Bendigo
551,Estados Unidos,Troutdale
468,Estados Unidos,Port Huron
17,Australia,St. Leonards
594,Estados Unidos,Bountiful
192,Francia,Paris
6,Australia,Lavender Bay
654,Estados Unidos,Cheyenne
47,Canada,Burnaby
493,Estados Unidos,Missoula
425,Estados Unidos,Mcdonough
258,Reino Unido,Maidenhead
392,Estados Unidos,Westminster
526,Estados Unidos,Columbus
291,Estados Unidos,Tucson
433,Estados Unidos,Elgin
494,Estados Unidos,Charlotte
576,Estados Unidos,College Station
479,Estados Unidos,Minneapolis
144,Alemania,Essen
231,Reino Unido,Billericay
164,Alemania,Berlin
387,Estados Unidos,Englewood
244,Reino Unido,London
131,Alemania,Frankfurt
651,Estados Unidos,Mosinee
119,Alemania,Grevenbroich
78,Canada,Etobicoke
606,Estados Unidos,Virginia Beach
444,Estados Unidos,Logansport
583,Estados Unidos,Humble
186,Francia,Dunkerque
610,Estados Unidos,Bothell
226,Francia,Cergy
95,Canada,Toronto
514,Estados Unidos,Cheektowaga
270,Reino Unido,W. York
623,Estados Unidos,Kirkland
211,Francia,Les Ulis
296,Estados Unidos,Barstow
344,Estados Unidos,Newark
309,Estados Unidos,City Of Commerce
530,Estados Unidos,Mansfield
333,Estados Unidos,Lake Elsinore
357,Estados Unidos,San Bruno
404,Estados Unidos,Destin
322,Estados Unidos,Fremont
370,Estados Unidos,Sherman Oaks
503,Estados Unidos,Plaistow
383,Estados Unidos,West Covina
641,Estados Unidos,Spokane
129,Alemania,Duesseldorf
172,Alemania,Offenbach
277,Reino Unido,York
35,Australia,Melbourne
105,Canada,Montreal
471,Estados Unidos,Southfield
199,Francia,Paris
597,Estados Unidos,Park City
72,Canada,Winnipeg
220,Francia,Bobigny
60,Canada,Port Hammond
53,Canada,Metchosin
436,Estados Unidos,Norridge
497,Estados Unidos,Raleigh
579,Estados Unidos,Fort Worth
55,Canada,Newton
234,Reino Unido,Bury
454,Estados Unidos,Norwood
390,Estados Unidos,Loveland
251,Reino Unido,London
29,Australia,Findon
97,Canada,Vancouver
452,Estados Unidos,Somerset
81,Canada,Markham
447,Estados Unidos,South Bend
586,Estados Unidos,La Marque
70,Canada,Westminster
189,Francia,Roubaix
613,Estados Unidos,Chehalis
517,Estados Unidos,Endicott
555,Estados Unidos,West Kingston
626,Estados Unidos,Lynnwood
299,Estados Unidos,Berkeley
101,Canada,Brossard
347,Estados Unidos,Novato
509,Estados Unidos,Las Vegas
312,Estados Unidos,Coronado
533,Estados Unidos,Oberlin
336,Estados Unidos,Lincoln Acres
46,Canada,Burnaby
360,Estados Unidos,San Francisco
407,Estados Unidos,Lakeland
325,Estados Unidos,Glendale
373,Estados Unidos,Stockton
148,Alemania,Muehlheim
631,Estados Unidos,Olympia
644,Estados Unidos,Walla Walla
175,Alemania,Saarlouis
461,Estados Unidos,Holland
574,Estados Unidos,Carrollton
10,Australia,Newcastle
38,Australia,South Melbourne
395,Estados Unidos,Hamden
151,Alemania,Paderborn
524,Estados Unidos,Burbank
474,Estados Unidos,Zeeland
600,Estados Unidos,Sandy
418,Estados Unidos,Austell
61,Canada,Richmond
183,Francia,Orleans
223,Francia,Saint-Denis
99,Canada,Weston
449,Estados Unidos,Florence
439,Estados Unidos,West Chicago
561,Estados Unidos,North Sioux City
21,Australia,Caloundra
448,Estados Unidos,Campbellsville
500,Estados Unidos,Winston-Salem
114,Alemania,Berlin
73,Canada,Saint John
94,Canada,Toronto
571,Estados Unidos,Arlington
237,Reino Unido,Esher-Molesey
162,Alemania,Werne
457,Estados Unidos,Wrentham
483,Estados Unidos,Jefferson City
133,Alemania,Kassel
558,Estados Unidos,Gaffney
109,Canada,Pnot-Rouge
429,Estados Unidos,Lewiston
628,Estados Unidos,Monroe
589,Estados Unidos,Plano
616,Estados Unidos,Everett
520,Estados Unidos,Melville
540,Estados Unidos,Hillsboro
302,Estados Unidos,Burlingame
206,Francia,Roissy en Brie
104,Canada,Montreal
350,Estados Unidos,Orange
512,Estados Unidos,Sparks
315,Estados Unidos,Downey
198,Francia,Paris
149,Alemania,Mühlheim
339,Estados Unidos,Mill Valley
363,Estados Unidos,San Mateo
410,Estados Unidos,North Miami Beach
150,Alemania,München
328,Estados Unidos,Hayward
564,Estados Unidos,Kingsport
376,Estados Unidos,Union City
215,Francia,Colombes
634,Estados Unidos,Redmond
507,Estados Unidos,Santa Fe
647,Estados Unidos,Woodinville
547,Estados Unidos,Portland
464,Estados Unidos,Midland
13,Australia,Port Macquarie
398,Estados Unidos,Stamford
90,Canada,Ottawa
2,Australia,Coffs Harbour
421,Estados Unidos,Columbus
250,Reino Unido,London
287,Estados Unidos,Mesa
85,Canada,Nepean
525,Estados Unidos,Cincinnati
169,Alemania,München
475,Estados Unidos,Branch
24,Australia,Hawthorne
332,Estados Unidos,La Mesa
227,Reino Unido,Abingdon
536,Estados Unidos,Beaverton
184,Francia,Metz
50,Canada,Haney
240,Reino Unido,High Wycombe
261,Reino Unido,Newcastle upon Tyne
100,Canada,Brossard
68,Canada,Vancouver
45,Canada,Burnaby
486,Estados Unidos,Saint Ann
74,Canada,Aurora
602,Estados Unidos,Chantilly
112,Canada,Sillery
281,Estados Unidos,Florence
458,Estados Unidos,Baltimore
592,Estados Unidos,Stafford
266,Reino Unido,Reading
619,Estados Unidos,Kelso
292,Estados Unidos,Alhambra
65,Canada,Shawnee
523,Estados Unidos,Valley Stream
152,Alemania,Berlin
543,Estados Unidos,Lebanon
305,Estados Unidos,Carson
353,Estados Unidos,Pleasanton
318,Estados Unidos,Elk Grove
342,Estados Unidos,Monrovia
366,Estados Unidos,Sand City
413,Estados Unidos,Sunrise
331,Estados Unidos,La Jolla
567,Estados Unidos,Memphis
156,Alemania,Braunschweig
379,Estados Unidos,Van Nuys
218,Francia,Sèvres
637,Estados Unidos,Seattle
207,Francia,Chatou
273,Reino Unido,Watford
550,Estados Unidos,Tigard
467,Estados Unidos,Pontiac
16,Australia,Springwood
93,Canada,Toronto
5,Australia,Lane Cove
653,Estados Unidos,Casper
492,Estados Unidos,Great Falls
424,Estados Unidos,Marietta
257,Reino Unido,London
290,Estados Unidos,Surprise
432,Estados Unidos,Chicago
575,Estados Unidos,Cedar Park
478,Estados Unidos,Medford
27,Australia,Townsville
143,Alemania,Bonn
140,Alemania,Berlin
230,Reino Unido,Berkshire
386,Estados Unidos,Denver
243,Reino Unido,Leeds
197,Francia,Paris
650,Estados Unidos,Milwaukee
118,Alemania,Frankfurt
77,Canada,Chalk Riber
605,Estados Unidos,Newport News
443,Estados Unidos,Indianapolis
490,Estados Unidos,Tupelo
582,Estados Unidos,Houston
185,Francia,Croix
609,Estados Unidos,Bellingham
513,Estados Unidos,Central Valley
284,Estados Unidos,Montgomery
269,Reino Unido,Stoke-on-Trent
622,Estados Unidos,Kent
295,Estados Unidos,Baldwin Park
153,Alemania,Berlin
308,Estados Unidos,Citrus Heights
89,Canada,Ottawa
356,Estados Unidos,Sacramento
403,Estados Unidos,Clearwater
321,Estados Unidos,Fontana
249,Reino Unido,London
459,Estados Unidos,Kittery
369,Estados Unidos,Santa Monica
502,Estados Unidos,Nashua
570,Estados Unidos,Pigeon Forge
137,Alemania,Augsburg
382,Estados Unidos,Walnut Creek
640,Estados Unidos,Shelton
128,Alemania,Dresden
171,Alemania,Neunkirchen
276,Reino Unido,Woolston
34,Australia,Geelong
553,Estados Unidos,Woodburn
470,Estados Unidos,Saginaw
19,Australia,Wollongong
596,Estados Unidos,Ogden
427,Estados Unidos,Suwanee
59,Canada,Oak Bay
126,Alemania,Berlin
44,Canada,Burnaby
435,Estados Unidos,Moline
496,Estados Unidos,Kannapolis
178,Alemania,Sulzbach Taunus
578,Estados Unidos,Dallas
54,Canada,N. Vancouver
263,Reino Unido,Oxford
233,Reino Unido,Bracknell
453,Estados Unidos,Braintree
64,Canada,Shawnee
389,Estados Unidos,Longmont
182,Francia,Saint Ouen
204,Francia,Paris
28,Australia,Cloverdale
451,Estados Unidos,Saint Matthews
121,Alemania,Ingolstadt
80,Canada,Kingston
446,Estados Unidos,New Castle
585,Estados Unidos,Killeen
69,Canada,Victoria
188,Francia,Roncq
612,Estados Unidos,Burien
154,Alemania,Bonn
516,Estados Unidos,De Witt
554,Estados Unidos,Warwick
625,Estados Unidos,Longview
213,Francia,Verrieres Le Buisson
298,Estados Unidos,Bellflower
42,Canada,Edmonton
346,Estados Unidos,Norwalk
508,Estados Unidos,Fernley
311,Estados Unidos,Concord
532,Estados Unidos,North Randall
335,Estados Unidos,Lemon Grove
359,Estados Unidos,San Diego
406,Estados Unidos,Kendall
324,Estados Unidos,Gilroy
256,Reino Unido,London
372,Estados Unidos,Spring Valley
630,Estados Unidos,North Bend
385,Estados Unidos,Woodland Hills
643,Estados Unidos,Union Gap
174,Alemania,Saarbrücken
460,Estados Unidos,Detroit
9,Australia,Milsons Point
37,Australia,Seaford
394,Estados Unidos,Farmington
142,Alemania,Bonn
139,Alemania,Berlin
473,Estados Unidos,Westland
599,Estados Unidos,Salt Lake City
417,Estados Unidos,Augusta
222,Francia,Pantin
98,Canada,Waterloo
196,Francia,Paris
438,Estados Unidos,Tuscola
560,Estados Unidos,Denby
20,Australia,Brisbane
499,Estados Unidos,Smithfield
236,Reino Unido,Cheltenham
161,Alemania,Solingen
456,Estados Unidos,Saugus
88,Canada,Ottawa
528,Estados Unidos,Heath
160,Alemania,Paderborn
482,Estados Unidos,Ferguson
132,Alemania,Hamburg
581,Estados Unidos,Hillsboro
248,Reino Unido,London
557,Estados Unidos,Bluffton
108,Canada,Outremont
428,Estados Unidos,Idaho Falls
588,Estados Unidos,Mesquite
615,Estados Unidos,Ellensburg
519,Estados Unidos,Lake George
539,Estados Unidos,Corvallis
301,Estados Unidos,Burbank
205,Francia,Lieusaint
103,Canada,Hull
349,Estados Unidos,Ontario
511,Estados Unidos,Reno
314,Estados Unidos,Daly City
338,Estados Unidos,Los Angeles
122,Alemania,Bad Soden
362,Estados Unidos,San Jose
409,Estados Unidos,Miami
327,Estados Unidos,Hanford
563,Estados Unidos,Hixson
375,Estados Unidos,Trabuco Canyon
125,Alemania,Berlin
214,Francia,Boulogne-Billancourt
633,Estados Unidos,Puyallup
43,Canada,Burnaby
506,Estados Unidos,Rio Rancho
646,Estados Unidos,Wenatchee
546,Estados Unidos,Oregon City
463,Estados Unidos,Madison Heights
12,Australia,North Sydney
40,Australia,Warrnambool
397,Estados Unidos,New Haven
1,Australia,Alexandria
420,Estados Unidos,Clarkston
